                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                 1.4034,                0.81053,                 1.5358,                0.91596,                0.88389,                0.92548,                0.48813,                 1.5582,                0.74401,                 1.6366,              0.0077725,              0.0077725,              0.0077725
                     93,                 1.4011,                 0.8141,                 1.5275,                0.91771,                0.84977,                 0.9147,                0.48499,                 1.5457,                0.75958,                  1.618,              0.0077478,              0.0077478,              0.0077478
                     94,                 1.3842,                0.79451,                 1.5247,                0.90061,                0.88092,                0.91455,                0.46703,                 1.6301,                 0.7522,                 1.6844,               0.007723,               0.007723,               0.007723
                     95,                 1.3966,                0.79167,                 1.5214,                0.92132,                0.89074,                0.92805,                0.47952,                 1.6158,                0.72883,                  1.671,              0.0076983,              0.0076983,              0.0076983
                     96,                 1.3912,                0.78646,                 1.5115,                0.89942,                0.88543,                0.92334,                0.47843,                 1.5853,                0.71328,                 1.6396,              0.0076735,              0.0076735,              0.0076735
                     97,                 1.3808,                0.78227,                 1.5099,                0.92731,                0.89714,                0.93116,                 0.4913,                 1.5562,                0.71277,                 1.6357,              0.0076488,              0.0076488,              0.0076488
                     98,                 1.3815,                0.79416,                 1.4971,                0.89561,                0.87145,                 0.9153,                0.47635,                 1.5711,                0.72353,                 1.6141,               0.007624,               0.007624,               0.007624
                     99,                 1.3849,                 0.7948,                 1.5203,                0.90196,                0.87111,                0.91478,                0.47709,                 1.6024,                0.74042,                 1.6635,              0.0075993,              0.0075993,              0.0075993
                    100,                 1.3708,                0.79831,                 1.5116,                 0.9157,                0.88089,                0.92708,                 0.4837,                 1.5607,                  0.731,                 1.6412,              0.0075745,              0.0075745,              0.0075745
                    101,                 1.3717,                0.79659,                 1.5164,                0.92545,                0.88483,                0.92896,                0.48961,                 1.5609,                 0.7074,                 1.6147,              0.0075498,              0.0075498,              0.0075498
                    102,                 1.3619,                0.78068,                 1.5073,                0.92979,                0.87614,                0.92538,                 0.4841,                  1.584,                0.70419,                 1.6218,               0.007525,               0.007525,               0.007525
                    103,                 1.3588,                0.78296,                 1.5079,                0.92205,                0.89671,                0.93484,                0.48705,                 1.5638,                0.71154,                 1.6225,              0.0075003,              0.0075003,              0.0075003
                    104,                 1.3808,                0.79027,                 1.5148,                0.92078,                0.86318,                0.91006,                0.45195,                 1.6458,                0.73849,                 1.6903,              0.0074755,              0.0074755,              0.0074755
                    105,                 1.3519,                0.77435,                  1.489,                0.91627,                0.89245,                0.92804,                0.46861,                  1.616,                0.69887,                 1.6604,              0.0074507,              0.0074507,              0.0074507
                    106,                 1.3548,                0.77281,                 1.4934,                0.92107,                0.89651,                0.92969,                  0.482,                   1.59,                0.70846,                 1.6478,               0.007426,               0.007426,               0.007426
                    107,                 1.3513,                0.77888,                 1.4934,                 0.9177,                0.89842,                0.92805,                0.47846,                 1.5946,                0.70898,                 1.6586,              0.0074013,              0.0074013,              0.0074013
                    108,                 1.3697,                0.78067,                 1.5066,                0.91214,                0.89799,                0.93251,                0.48363,                 1.5955,                0.71528,                 1.6364,              0.0073765,              0.0073765,              0.0073765
                    109,                 1.3502,                0.76124,                 1.4741,                0.91492,                0.88579,                0.92591,                0.48559,                 1.5673,                0.70364,                 1.6101,              0.0073517,              0.0073517,              0.0073517
                    110,                 1.3477,                0.77979,                 1.4931,                0.91851,                0.89003,                0.93126,                0.47797,                 1.5805,                0.69936,                 1.6525,               0.007327,               0.007327,               0.007327
                    111,                 1.3298,                0.75147,                 1.4769,                0.91659,                0.88643,                0.92757,                0.47904,                 1.6174,                0.71401,                 1.6589,              0.0073023,              0.0073023,              0.0073023
                    112,                 1.3321,                0.75885,                   1.49,                0.92082,                0.88345,                0.93283,                0.48028,                 1.5912,                0.70989,                 1.6521,              0.0072775,              0.0072775,              0.0072775
                    113,                 1.3377,                0.74908,                 1.4768,                0.91402,                0.88018,                0.91985,                0.47233,                 1.6035,                0.72147,                 1.6552,              0.0072527,              0.0072527,              0.0072527
                    114,                 1.3416,                0.75384,                 1.4817,                0.89699,                0.88562,                0.92294,                0.47982,                 1.5753,                0.71828,                 1.6335,               0.007228,               0.007228,               0.007228
                    115,                 1.3453,                0.76124,                 1.4785,                0.91432,                0.88946,                0.93011,                0.48372,                 1.5714,                 0.7109,                 1.6326,              0.0072033,              0.0072033,              0.0072033
                    116,                 1.3127,                0.73756,                 1.4578,                0.91264,                  0.863,                0.91367,                 0.4692,                  1.613,                0.72642,                 1.6661,              0.0071785,              0.0071785,              0.0071785
                    117,                 1.3137,                0.75961,                 1.4592,                0.92579,                0.87858,                0.93325,                0.49116,                 1.5863,                0.68878,                 1.6277,              0.0071538,              0.0071538,              0.0071538
                    118,                 1.3065,                0.74268,                 1.4565,                0.91142,                0.87832,                0.91982,                0.48543,                 1.5995,                0.69837,                 1.6558,               0.007129,               0.007129,               0.007129
