                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                0.50899,                0.52496,                0.22121,                0.84833,                0.90013,                0.88404,                0.42186,                0.54927,                0.57433,                0.29916,              0.0069558,              0.0069558,              0.0069558
                    126,                0.53462,                 0.5359,                0.23186,                0.86261,                0.88699,                 0.8921,                0.43162,                0.53975,                0.52893,                0.29787,               0.006931,               0.006931,               0.006931
                    127,                0.55774,                 0.5476,                0.23644,                0.85598,                 0.8929,                0.89715,                0.44464,                0.52486,                0.54005,                0.28684,              0.0069063,              0.0069063,              0.0069063
                    128,                0.67412,                0.54059,                0.27462,                0.84049,                0.85105,                0.85379,                0.40701,                 0.5555,                0.53638,                0.29774,              0.0068815,              0.0068815,              0.0068815
                    129,                0.48865,                 0.5418,                0.22165,                0.86122,                0.90354,                0.89892,                0.45263,                0.51351,                0.55886,                0.28294,              0.0068568,              0.0068568,              0.0068568
                    130,                0.45786,                0.55217,                0.21219,                0.85027,                0.89433,                0.89234,                0.45013,                0.51658,                0.56165,                0.28316,               0.006832,               0.006832,               0.006832
                    131,                0.43744,                0.53045,                0.19791,                 0.8376,                0.89811,                0.88609,                 0.4422,                0.53057,                0.55101,                0.29537,              0.0068073,              0.0068073,              0.0068073
                    132,                0.44024,                0.52468,                0.20002,                0.85134,                0.87836,                0.89114,                0.44809,                0.51503,                0.57796,                0.28664,              0.0067825,              0.0067825,              0.0067825
                    133,                0.44706,                0.53268,                0.20435,                0.87001,                0.89982,                0.90751,                0.45071,                0.52321,                0.54895,                0.28801,              0.0067577,              0.0067577,              0.0067577
                    134,                0.48704,                0.54163,                0.21916,                0.87469,                0.88306,                0.89852,                0.44817,                0.51957,                0.56636,                0.28424,               0.006733,               0.006733,               0.006733
                    135,                0.46471,                0.52834,                0.21017,                0.85983,                0.89501,                  0.903,                0.45982,                 0.5089,                0.56686,                0.28075,              0.0067082,              0.0067082,              0.0067082
                    136,                0.43262,                0.51887,                0.19816,                 0.8642,                0.87998,                0.89918,                0.45812,                0.52019,                0.54945,                0.28899,              0.0066835,              0.0066835,              0.0066835
                    137,                0.43944,                0.51531,                0.19906,                0.84975,                0.88586,                0.89434,                0.44965,                0.52189,                0.56944,                0.29223,              0.0066587,              0.0066587,              0.0066587
                    138,                0.46015,                0.53216,                0.20777,                0.84792,                0.89757,                0.89885,                0.44221,                0.52626,                0.57221,                0.29386,               0.006634,               0.006634,               0.006634
                    139,                0.47877,                0.54524,                0.22067,                0.85932,                0.87367,                0.89482,                0.44298,                0.52876,                0.55646,                0.29283,              0.0066092,              0.0066092,              0.0066092
                    140,                0.43106,                0.52808,                0.19448,                0.85063,                0.88716,                0.89619,                0.44819,                0.51556,                0.58417,                0.28276,              0.0065845,              0.0065845,              0.0065845
                    141,                0.41203,                0.51424,                0.18768,                0.86688,                0.86992,                0.89187,                0.45301,                0.51598,                0.57591,                0.28563,              0.0065598,              0.0065598,              0.0065598
                    142,                0.40773,                0.50768,                0.18645,                0.85398,                0.88112,                0.88261,                0.44202,                 0.5225,                0.58014,                0.28963,               0.006535,               0.006535,               0.006535
                    143,                0.40086,                0.51184,                0.19107,                0.87303,                0.89508,                0.90798,                0.45784,                0.50979,                 0.5727,                0.28186,              0.0065102,              0.0065102,              0.0065102
                    144,                0.40862,                0.50867,                0.18941,                 0.8661,                0.88818,                0.90369,                0.46324,                0.50785,                0.55901,                0.28018,              0.0064855,              0.0064855,              0.0064855
                    145,                0.40248,                0.51346,                0.18795,                0.87323,                0.87793,                0.89772,                0.45221,                0.51602,                 0.5636,                 0.2836,              0.0064608,              0.0064608,              0.0064608
                    146,                 0.4076,                0.51149,                0.18955,                0.86131,                0.89714,                0.89291,                0.45161,                0.51818,                0.57024,                0.28865,               0.006436,               0.006436,               0.006436
                    147,                0.42486,                0.52489,                0.20078,                0.87127,                0.89031,                0.90407,                0.45086,                0.51954,                0.56359,                0.28631,              0.0064112,              0.0064112,              0.0064112
                    148,                 0.4388,                0.52134,                0.20037,                0.85331,                0.89378,                 0.9018,                0.44015,                0.52117,                 0.5717,                0.28895,              0.0063865,              0.0063865,              0.0063865
                    149,                0.41611,                0.51016,                0.18937,                0.86763,                0.89241,                0.90631,                0.44492,                0.53068,                0.56571,                0.29512,              0.0063618,              0.0063618,              0.0063618
                    150,                0.39954,                0.50635,                0.18732,                0.86116,                0.89287,                0.89826,                0.44165,                0.53493,                0.56995,                0.30246,               0.006337,               0.006337,               0.006337
                    151,                0.39906,                 0.5157,                0.19059,                0.85857,                 0.8939,                0.89736,                0.44179,                0.53252,                0.55631,                0.30261,              0.0063122,              0.0063122,              0.0063122
                    152,                0.39687,                0.52792,                0.18325,                0.87109,                 0.8822,                0.89711,                0.44778,                0.52464,                0.56407,                0.29266,              0.0062875,              0.0062875,              0.0062875
                    153,                0.40112,                0.50634,                0.18115,                0.86689,                0.89074,                0.89871,                 0.4558,                0.51355,                0.57421,                0.28559,              0.0062628,              0.0062628,              0.0062628
                    154,                0.39234,                0.51168,                0.17718,                0.87324,                0.90312,                0.91542,                0.46552,                0.51571,                0.56912,                0.28696,               0.006238,               0.006238,               0.006238
                    155,                 0.4011,                0.50469,                0.18458,                0.85293,                0.89543,                0.89491,                0.45034,                0.52843,                0.57844,                0.29788,              0.0062132,              0.0062132,              0.0062132
                    156,                0.43237,                 0.5173,                0.19261,                0.85926,                0.90421,                0.90206,                0.45606,                0.51956,                0.58497,                0.28767,              0.0061885,              0.0061885,              0.0061885
