                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.47904,                0.53012,                0.21363,                0.85144,                0.90505,                0.89756,                0.45726,                0.51104,                 0.5557,                0.28486,              0.0070547,              0.0070547,              0.0070547
                    122,                0.48111,                0.53413,                0.21964,                0.84138,                0.88604,                0.87328,                0.43121,                0.52409,                0.56068,                0.29381,                0.00703,                0.00703,                0.00703
                    123,                0.47072,                0.52967,                0.21695,                0.85266,                0.89159,                0.88849,                0.45297,                0.51232,                0.54569,                0.28396,              0.0070053,              0.0070053,              0.0070053
                    124,                0.48298,                0.53013,                0.21798,                 0.8403,                0.91421,                0.88413,                0.45044,                0.51324,                0.56953,                0.28834,              0.0069805,              0.0069805,              0.0069805
                    125,                0.47248,                0.53326,                0.21612,                0.85098,                0.90419,                0.89369,                0.45147,                0.50962,                0.55095,                0.28407,              0.0069558,              0.0069558,              0.0069558
                    126,                0.47627,                0.52508,                0.21587,                0.85132,                0.89443,                0.88466,                0.43856,                0.51625,                0.54977,                 0.2906,               0.006931,               0.006931,               0.006931
                    127,                0.47192,                0.53857,                0.21569,                0.84574,                0.89388,                0.87715,                0.44425,                0.51127,                0.56147,                 0.2852,              0.0069063,              0.0069063,              0.0069063
                    128,                0.49025,                0.53219,                0.21302,                0.84733,                 0.8933,                0.88152,                0.45231,                0.50857,                 0.5497,                0.28081,              0.0068815,              0.0068815,              0.0068815
                    129,                 0.4641,                0.52087,                 0.2103,                0.84622,                0.90013,                 0.8867,                0.44776,                0.51419,                0.55883,                0.28612,              0.0068568,              0.0068568,              0.0068568
                    130,                0.46563,                0.53935,                 0.2128,                0.84086,                0.89714,                0.88535,                0.44724,                0.51754,                0.55906,                0.29033,               0.006832,               0.006832,               0.006832
                    131,                0.46768,                0.53251,                0.20776,                0.84254,                0.88775,                0.88452,                0.44488,                0.51153,                0.56656,                0.28459,              0.0068073,              0.0068073,              0.0068073
                    132,                0.45051,                0.53521,                0.20281,                0.83765,                0.89627,                0.88811,                0.45699,                 0.5096,                0.55376,                0.28188,              0.0067825,              0.0067825,              0.0067825
                    133,                 0.4701,                0.53748,                0.21239,                0.84437,                 0.9031,                0.88999,                0.44919,                0.51508,                0.55126,                0.29165,              0.0067577,              0.0067577,              0.0067577
                    134,                0.47643,                0.53849,                0.21009,                0.84555,                0.88787,                0.87965,                0.44341,                0.51995,                0.54741,                0.28761,               0.006733,               0.006733,               0.006733
                    135,                0.46007,                0.53069,                0.20662,                  0.845,                0.92104,                0.90481,                0.46408,                0.50577,                0.54984,                0.27904,              0.0067082,              0.0067082,              0.0067082
                    136,                0.45528,                0.53027,                0.20354,                0.85153,                0.89543,                0.89959,                0.45634,                0.50938,                0.55098,                0.28586,              0.0066835,              0.0066835,              0.0066835
                    137,                0.48291,                0.53709,                0.21001,                0.84691,                0.89486,                0.88891,                0.44768,                0.52929,                0.55236,                0.29562,              0.0066587,              0.0066587,              0.0066587
                    138,                0.47954,                0.54454,                0.21082,                0.84483,                 0.8869,                0.89267,                0.44614,                0.52171,                0.55284,                0.28892,               0.006634,               0.006634,               0.006634
                    139,                0.45315,                0.53252,                0.20207,                0.84197,                 0.8937,                0.88148,                0.43835,                0.52836,                0.55844,                0.29518,              0.0066092,              0.0066092,              0.0066092
                    140,                0.45959,                0.53661,                 0.2024,                0.83915,                0.89373,                0.88674,                0.43348,                0.52762,                 0.5662,                0.29555,              0.0065845,              0.0065845,              0.0065845
                    141,                0.45093,                0.52938,                0.20007,                0.83722,                0.89586,                0.88218,                0.43928,                0.52761,                0.57216,                0.29626,              0.0065598,              0.0065598,              0.0065598
                    142,                0.48456,                0.53036,                0.21153,                0.83285,                0.90568,                0.88655,                0.44456,                0.52041,                 0.5507,                0.29104,               0.006535,               0.006535,               0.006535
                    143,                0.46104,                0.52794,                0.20978,                0.85468,                0.89458,                0.88848,                0.44445,                0.51864,                0.57059,                0.29141,              0.0065102,              0.0065102,              0.0065102
                    144,                 0.4611,                0.53856,                0.20406,                0.85081,                0.88844,                0.89011,                0.44592,                0.51705,                0.56815,                0.29073,              0.0064855,              0.0064855,              0.0064855
                    145,                0.47824,                0.53355,                 0.2114,                0.85264,                0.89148,                0.89113,                0.44694,                0.51823,                0.55759,                 0.2885,              0.0064608,              0.0064608,              0.0064608
                    146,                0.46314,                0.53478,                0.20621,                0.85147,                0.89415,                 0.8889,                0.44405,                0.50694,                0.56591,                0.28213,               0.006436,               0.006436,               0.006436
                    147,                0.46648,                 0.5306,                 0.2097,                0.85048,                0.89338,                0.89098,                0.44316,                0.51709,                0.57309,                0.28981,              0.0064112,              0.0064112,              0.0064112
                    148,                0.47585,                0.52934,                 0.2073,                0.84098,                0.89245,                0.88112,                0.44425,                 0.5136,                0.56393,                0.28502,              0.0063865,              0.0063865,              0.0063865
                    149,                0.51261,                0.53492,                0.21967,                0.84402,                0.88914,                0.88283,                0.44529,                0.53073,                0.55364,                0.29683,              0.0063618,              0.0063618,              0.0063618
                    150,                0.47963,                0.52598,                0.21007,                0.83872,                0.89714,                0.87314,                0.44122,                0.52181,                0.56239,                0.29747,               0.006337,               0.006337,               0.006337
                    151,                0.47959,                0.54029,                0.21376,                0.83896,                0.89608,                 0.8721,                0.43267,                0.51755,                0.56196,                0.29009,              0.0063122,              0.0063122,              0.0063122
                    152,                0.47824,                0.53701,                0.20677,                0.84779,                0.88647,                0.87717,                0.43984,                0.52013,                0.54684,                0.29118,              0.0062875,              0.0062875,              0.0062875
                    153,                0.48129,                0.52192,                0.20253,                0.83899,                0.90525,                0.88323,                0.44123,                 0.5229,                0.55102,                0.29095,              0.0062628,              0.0062628,              0.0062628
                    154,                0.46854,                0.51891,                0.19788,                0.84014,                0.87964,                0.87367,                0.44238,                0.51357,                0.56734,                0.28362,               0.006238,               0.006238,               0.006238
                    155,                0.45487,                0.51578,                0.19969,                0.84365,                0.88519,                 0.8843,                0.44116,                0.52521,                0.55923,                0.29302,              0.0062132,              0.0062132,              0.0062132
                    156,                0.46036,                0.52604,                0.19936,                0.85078,                0.88562,                0.89109,                0.44276,                0.51623,                0.56413,                0.28524,              0.0061885,              0.0061885,              0.0061885
